,Ingredient,Normalized,Name of Dish
1263,of powdered sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
1264,of sea salt,salt,White Almond Cake with Raspberry Filling and Buttercream Frosting
1265,olive oil,olive oil,Baked Salsa Verde Taquitos
1266,pork roast,pork,Baked Salsa Verde Taquitos
1267,onion,onion,Baked Salsa Verde Taquitos
1268,seasoned salt,salt,Baked Salsa Verde Taquitos
1269,cumin + 1 teaspoon,cumin,Baked Salsa Verde Taquitos
1270,can black beans,black bean,Baked Salsa Verde Taquitos
1271,red salsa,salsa,Baked Salsa Verde Taquitos
1272,salsa verde,salsa,Baked Salsa Verde Taquitos
1273,mixed mexican cheese,cheese,Baked Salsa Verde Taquitos
1274,kosher salt,salt,Baked Salsa Verde Taquitos
1275,pepper to taste,pepper,Baked Salsa Verde Taquitos
1276,chili powder,,Baked Salsa Verde Taquitos
1277,small corn tortillas,corn,Baked Salsa Verde Taquitos
1278,large eggs,egg,Buttermilk Pancakes
1279,all purpose flour,all purpose flour,Buttermilk Pancakes
1280,baking powder,baking powder,Buttermilk Pancakes
1281,salt,salt,Buttermilk Pancakes
1282,sugar,sugar,Buttermilk Pancakes
1283,buttermilk,buttermilk,Buttermilk Pancakes
1284,melted butter,butter,Buttermilk Pancakes
1285,vanilla extract,vanilla,Buttermilk Pancakes
1286,packages of white cake mix,,Flag Cake
1287,all-purpose flour,all purpose flour,Flag Cake
1288,sugar,sugar,Flag Cake
1289,salt,salt,Flag Cake
1290,water,,Flag Cake
1291,sour cream,sour cream,Flag Cake
1292,vegetable oil,vegetable oil,Flag Cake
1293,almond extract,almond,Flag Cake
1294,vanilla extract,vanilla,Flag Cake
1295,egg whites,egg,Flag Cake
1296,blue and red food coloring,,Flag Cake
1297,frozen unsweetened raspberries thawed,raspberries,Flag Cake
1298,sugar,sugar,Flag Cake
1299,lemon juice,lemon juice,Flag Cake
1300,cornstarch,starch,Flag Cake
1301,raspberry liqueur,raspberry,Flag Cake
1302,sticks unsalted butter,butter,Flag Cake
1303,all vegetable shortening,vegetable,Flag Cake
1304,powdered sugar,sugar,Flag Cake
1305,vanilla,vanilla,Flag Cake
1306,sea salt,salt,Flag Cake
1307,milk or heavy cream,heavy cream,Flag Cake
1308,blue and red food coloring,,Flag Cake
1309,recipe of Sugar Cookies with Royal Frosting,sugar,Flag Cake
1310,chicken breasts,chicken,Grilled Chicken with Lime Butter Sauce
1311,olive oil,olive oil,Grilled Chicken with Lime Butter Sauce
1312,salt,salt,Grilled Chicken with Lime Butter Sauce
1313,black pepper,black pepper,Grilled Chicken with Lime Butter Sauce
1314,chicken broth,chicken broth,Grilled Chicken with Lime Butter Sauce
1315,zest of 1 lime,lime,Grilled Chicken with Lime Butter Sauce
1316,fresh garlic,garlic,Grilled Chicken with Lime Butter Sauce
1317,juice of 1 lime,lime,Grilled Chicken with Lime Butter Sauce
1318,unsalted butter,butter,Grilled Chicken with Lime Butter Sauce
1319,dried dill,dill,Grilled Chicken with Lime Butter Sauce
1320,green onions,onion,Grilled Chicken with Lime Butter Sauce
1321,salt,salt,Grilled Chicken with Lime Butter Sauce
1322,olive oil,olive oil,Grilled Chicken with Lime Butter Sauce
1323,fresh spinach,,Grilled Chicken with Lime Butter Sauce
1324,fresh lime juice,lime juice,Grilled Chicken with Lime Butter Sauce
1325,salt,salt,Grilled Chicken with Lime Butter Sauce
1326,chicken breast,chicken,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1327,chicken broth,chicken broth,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1328,kosher salt,salt,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1329,black pepper,black pepper,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1330,olive oil,olive oil,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1331,garlic,garlic,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1332,red onion,onion,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1333,medium jalapeno,jalapeno,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1334,curry powder,,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1335,lemongrass paste,lemongrass,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1336,fresh basil,basil,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1337,fresh cilantro,cilantro,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1338,fresh lime juice,lime juice,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1339,can cannellini beans,bean,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1340,uncooked white rice,rice,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1341,can coconut milk,coconut,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1342,water,,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1343,salt,salt,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1344,medium sized bell peppers,bell pepper,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1345,green onion,onion,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1346,cilantro,cilantro,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1347,red onion,onion,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1348,plain Greek yogurt,yogurt,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1349,lemongrass paste,lemongrass,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
1350,chicken breast,chicken,Grilled Cilantro Lime Chicken Tacos
1351,salt,salt,Grilled Cilantro Lime Chicken Tacos
1352,pepper,pepper,Grilled Cilantro Lime Chicken Tacos
1353,olive oil,olive oil,Grilled Cilantro Lime Chicken Tacos
1354,lime juice,lime juice,Grilled Cilantro Lime Chicken Tacos
1355,"cilantro, finely chopped",cilantro,Grilled Cilantro Lime Chicken Tacos
1356,garlic,garlic,Grilled Cilantro Lime Chicken Tacos
1357,onion,onion,Grilled Cilantro Lime Chicken Tacos
1358,red pepper,pepper,Grilled Cilantro Lime Chicken Tacos
1359,green pepper,pepper,Grilled Cilantro Lime Chicken Tacos
1360,olive oil,olive oil,Grilled Cilantro Lime Chicken Tacos
1361,salt and pepper,pepper,Grilled Cilantro Lime Chicken Tacos
1362,"red onion, sliced thinly",onion,Grilled Cilantro Lime Chicken Tacos
1363,lime juice,lime juice,Grilled Cilantro Lime Chicken Tacos
1364,sugar,sugar,Grilled Cilantro Lime Chicken Tacos
1365,salt,salt,Grilled Cilantro Lime Chicken Tacos
1366,"salsa, cheese, sour cream, cilantro, and jalapeno for toppings",sour cream,Grilled Cilantro Lime Chicken Tacos
1367,small flour tortillas,,Grilled Cilantro Lime Chicken Tacos
1368,chicken breast,chicken,Bacon Chicken Cordon Bleu
1369,sliced deli ham,ham,Bacon Chicken Cordon Bleu
1370,swiss cheese,swiss cheese,Bacon Chicken Cordon Bleu
1371,strips bacon,bacon,Bacon Chicken Cordon Bleu
1372,large eggs,egg,Bacon Chicken Cordon Bleu
1373,olive oil,olive oil,Bacon Chicken Cordon Bleu
1374,salt,salt,Bacon Chicken Cordon Bleu
1375,pepper,pepper,Bacon Chicken Cordon Bleu
1376,Italian Panko breadcrumbs,bread,Bacon Chicken Cordon Bleu
1377,shredded parmesan cheese,parmesan cheese,Bacon Chicken Cordon Bleu
1378,dried parsley,parsley,Bacon Chicken Cordon Bleu
1379,ground thyme,thyme,Bacon Chicken Cordon Bleu
1380,paprika,paprika,Bacon Chicken Cordon Bleu
1381,oregano,oregano,Bacon Chicken Cordon Bleu
1382,garlic powder,garlic,Bacon Chicken Cordon Bleu
1383,butter,butter,Crispy Top Fudgy Brownies
1384,sugar,sugar,Crispy Top Fudgy Brownies
1385,eggs,egg,Crispy Top Fudgy Brownies
1386,vanilla extract,vanilla,Crispy Top Fudgy Brownies
1387,all purpose flour,all purpose flour,Crispy Top Fudgy Brownies
1388,cocoa powder,cocoa,Crispy Top Fudgy Brownies
1389,salt,salt,Crispy Top Fudgy Brownies
1390,baking powder,baking powder,Crispy Top Fudgy Brownies
1391,sugar,sugar,Chocolate Caramel Cake
1392,all purpose flour,all purpose flour,Chocolate Caramel Cake
1393,cornstarch,starch,Chocolate Caramel Cake
1394,dark cocoa powder,cocoa,Chocolate Caramel Cake
1395,baking soda,baking soda,Chocolate Caramel Cake
1396,salt,salt,Chocolate Caramel Cake
1397,eggs,egg,Chocolate Caramel Cake
1398,egg yolk,egg,Chocolate Caramel Cake
1399,vegetable oil,vegetable oil,Chocolate Caramel Cake
1400,vanilla,vanilla,Chocolate Caramel Cake
1401,coffee,coffee,Chocolate Caramel Cake
1402,boiling water,,Chocolate Caramel Cake
1403,buttermilk,buttermilk,Chocolate Caramel Cake
1404,sugar,sugar,Chocolate Caramel Cake
1405,water,,Chocolate Caramel Cake
1406,stick butter,butter,Chocolate Caramel Cake
1407,whipping cream,cream,Chocolate Caramel Cake
1408,crushed pretzels,,Chocolate Caramel Cake
1409,milk,milk,Chocolate Caramel Cake
1410,unsalted butter,butter,Chocolate Caramel Cake
1411,shortening,,Chocolate Caramel Cake
1412,powdered sugar,sugar,Chocolate Caramel Cake
1413,dark chocolate chips,chocolate chips,Chocolate Caramel Cake
1414,light corn syrup,corn,Chocolate Caramel Cake
1415,heavy whipping cream,cream,Chocolate Caramel Cake
1416,olive oil,olive oil,Hummus Veggie Wraps
1417,red onion,onion,Hummus Veggie Wraps
1418,red pepper,pepper,Hummus Veggie Wraps
1419,garlic,garlic,Hummus Veggie Wraps
1420,shredded carrots,carrot,Hummus Veggie Wraps
1421,packed,,Hummus Veggie Wraps
1422,Roasted garlic hummus,garlic,Hummus Veggie Wraps
1423,avocado,avocado,Hummus Veggie Wraps
1424,feta cheese,feta cheese,Hummus Veggie Wraps
1425,Honey balsamic vinaigrette,honey,Hummus Veggie Wraps
1426,Wrap,,Hummus Veggie Wraps
1427,boneless chicken thighs,chicken,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1428,lemon juice,lemon juice,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1429,white vinegar,vinegar,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1430,tumeric,,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1431,curry,,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1432,cumin,cumin,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1433,oregano,oregano,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1434,cardamom,cardamom,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1435,nutmeg,nutmeg,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1436,garlic cloves,garlic,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1437,salt,salt,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1438,black pepper,black pepper,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1439,olive oil,olive oil,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1440,"sweet onion, chopped",onion,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1441,white cooking wine,wine,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1442,"cherry tomatoes, halved",tomato,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1443,"kale, coarsely chopped ",kale,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1444,garlic,garlic,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1445,jasmine rice,jasmine,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1446,reduced sodium chicken broth,chicken broth,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1447,lemon juice,lemon juice,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1448,tumeric,,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1449,cumin,cumin,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1450,cardamom,cardamom,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1451,nutmeg,nutmeg,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1452,salt,salt,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1453,plain greek yogurt,yogurt,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1454,lemon juice,lemon juice,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1455,tahini,,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1456,olive oil,olive oil,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1457,salt,salt,Middle Eastern Chicken and Rice with Tahini Yogurt Sauce
1458,long grain white rice,rice,Cilantro Lime Rice
1459,butter,butter,Cilantro Lime Rice
1460,water,,Cilantro Lime Rice
1461,salt,salt,Cilantro Lime Rice
1462,zest of 1/2 lime,lime,Cilantro Lime Rice
1463,juice of 1 lime,lime,Cilantro Lime Rice
1464,cilantro,cilantro,Cilantro Lime Rice
1465,almond flour,almond,Copycat Nutri Grain Bars
1466,plus 1/2 cup all purpose flour,all purpose flour,Copycat Nutri Grain Bars
1467,corn starch,starch,Copycat Nutri Grain Bars
1468,old fashioned oats,oat,Copycat Nutri Grain Bars
1469,salt,salt,Copycat Nutri Grain Bars
1470,baking powder,baking powder,Copycat Nutri Grain Bars
1471,cinnamon,cinnamon,Copycat Nutri Grain Bars
1472,unsalted butter,butter,Copycat Nutri Grain Bars
1473,coconut oil,coconut oil,Copycat Nutri Grain Bars
1474,vanilla extract,vanilla,Copycat Nutri Grain Bars
1475,eggs,egg,Copycat Nutri Grain Bars
1476,honey,honey,Copycat Nutri Grain Bars
1477,milk plus 2 tbsp milk,milk,Copycat Nutri Grain Bars
1478,frozen mixed berries,,Copycat Nutri Grain Bars
1479,lemon juice,lemon juice,Copycat Nutri Grain Bars
1480,sugar,sugar,Copycat Nutri Grain Bars
1481,ground chicken,chicken,Curry Meatballs with Coconut Rice
1482,fresh ginger,ginger,Curry Meatballs with Coconut Rice
1483,red curry paste,,Curry Meatballs with Coconut Rice
1484,ground coriander,coriander,Curry Meatballs with Coconut Rice
1485,garlic,garlic,Curry Meatballs with Coconut Rice
1486,dry Panko breadcrumbs,bread,Curry Meatballs with Coconut Rice
1487,cilantro,cilantro,Curry Meatballs with Coconut Rice
1488,soy sauce,soy sauce,Curry Meatballs with Coconut Rice
1489,fresh lime juice,lime juice,Curry Meatballs with Coconut Rice
1490,dried basil,basil,Curry Meatballs with Coconut Rice
1491,salt,salt,Curry Meatballs with Coconut Rice
1492,black pepper,black pepper,Curry Meatballs with Coconut Rice
1493,vegetable oil,vegetable oil,Curry Meatballs with Coconut Rice
1494,shredded carrots,carrot,Curry Meatballs with Coconut Rice
1495,red curry,,Curry Meatballs with Coconut Rice
1496,garlic,garlic,Curry Meatballs with Coconut Rice
1497,fresh ginger,ginger,Curry Meatballs with Coconut Rice
1498,can full fat coconut milk,coconut,Curry Meatballs with Coconut Rice
1499,chicken broth,chicken broth,Curry Meatballs with Coconut Rice
1500,black pepper,black pepper,Curry Meatballs with Coconut Rice
1501,salt,salt,Curry Meatballs with Coconut Rice
1502,sugar,sugar,Curry Meatballs with Coconut Rice
1503,soy sauce,soy sauce,Curry Meatballs with Coconut Rice
1504,lime juice,lime juice,Curry Meatballs with Coconut Rice
1505,red curry paste,,Curry Meatballs with Coconut Rice
1506,red pepper,pepper,Curry Meatballs with Coconut Rice
1507,snow peas,pea,Curry Meatballs with Coconut Rice
1508,Jasmine Rice,jasmine,Curry Meatballs with Coconut Rice
1509,can full fat coconut milk,coconut,Curry Meatballs with Coconut Rice
1510,water,,Curry Meatballs with Coconut Rice
1511,salt,salt,Curry Meatballs with Coconut Rice
1512,yellow squash,squash,Roasted Summer Squash Soup
1513,plus 1/4 teaspoon cinnamon,cinnamon,Roasted Summer Squash Soup
1514,13.6 ounce can coconut milk,coconut,Roasted Summer Squash Soup
1515,chicken or vegetable broth,vegetable,Roasted Summer Squash Soup
1516,nutmeg,nutmeg,Roasted Summer Squash Soup
1517,honey,honey,Roasted Summer Squash Soup
1518,tumeric,,Roasted Summer Squash Soup
1519,salt,salt,Roasted Summer Squash Soup
1520,sweetened coconut flakes and sunflower seeds for serving,coconut,Roasted Summer Squash Soup
1521,hazelnuts,hazelnut,Hazelnut Shortbread Cookies with Nutella Filling
1522,unsalted butter,butter,Hazelnut Shortbread Cookies with Nutella Filling
1523,sugar,sugar,Hazelnut Shortbread Cookies with Nutella Filling
1524,vanilla extract,vanilla,Hazelnut Shortbread Cookies with Nutella Filling
1525,honey,honey,Hazelnut Shortbread Cookies with Nutella Filling
1526,kosher salt,salt,Hazelnut Shortbread Cookies with Nutella Filling
1527,corn starch,starch,Hazelnut Shortbread Cookies with Nutella Filling
1528,almond flour,almond,Hazelnut Shortbread Cookies with Nutella Filling
1529,all purpose flour,all purpose flour,Hazelnut Shortbread Cookies with Nutella Filling
1530,chicken breast,chicken,Blackened Chicken
1531,Olive oil,olive oil,Blackened Chicken
1532,paprika,paprika,Blackened Chicken
1533,salt,salt,Blackened Chicken
1534,cayenne pepper,cayenne,Blackened Chicken
1535,black pepper,black pepper,Blackened Chicken
1536,chili powder,,Blackened Chicken
1537,cumin,cumin,Blackened Chicken
1538,thyme,thyme,Blackened Chicken
1539,white pepper,pepper,Blackened Chicken
1540,onion powder,onion,Blackened Chicken
1541,garlic,garlic,Blackened Chicken
1542,cocoa powder,cocoa,Chocolate Zucchini Donuts
1543,sugar,sugar,Chocolate Zucchini Donuts
1544,light brown sugar,sugar,Chocolate Zucchini Donuts
1545,grated zucchini,zucchini,Chocolate Zucchini Donuts
1546,coconut flour,coconut,Chocolate Zucchini Donuts
1547,all purpose flour,all purpose flour,Chocolate Zucchini Donuts
1548,baking powder,baking powder,Chocolate Zucchini Donuts
1549,salt,salt,Chocolate Zucchini Donuts
1550,cinnamon,cinnamon,Chocolate Zucchini Donuts
1551,vanilla,vanilla,Chocolate Zucchini Donuts
1552,vegetable oil,vegetable oil,Chocolate Zucchini Donuts
1553,large eggs,egg,Chocolate Zucchini Donuts
1554,semi-sweet chocolate chips,chocolate chips,Chocolate Zucchini Donuts
1555,coconut or vegetable oil,vegetable oil,Chocolate Zucchini Donuts
1556,sprinkles for decor,,Chocolate Zucchini Donuts
1557,boneless pork chops,pork,Sweet and Salty Pork Chops
1558,reduced sodium soy sauce,soy sauce,Sweet and Salty Pork Chops
1559,seasoned salt,salt,Sweet and Salty Pork Chops
1560,black pepper,black pepper,Sweet and Salty Pork Chops
1561,paprika,paprika,Sweet and Salty Pork Chops
1562,onion powder,onion,Sweet and Salty Pork Chops
1563,light brown sugar,sugar,Sweet and Salty Pork Chops
1564,garlic powder,garlic,Sweet and Salty Pork Chops
1565,olive oil,olive oil,Sweet and Salty Pork Chops
1566,flank steak,,Flank Steak with Chimichurri Sauce
1567,olive oil,olive oil,Flank Steak with Chimichurri Sauce
1568,salt,salt,Flank Steak with Chimichurri Sauce
1569,pepper,pepper,Flank Steak with Chimichurri Sauce
